CUBLAS error: memory mapping error (11) in main at testing_dgemm_cpystream.cpp:146
#size, mflops, magma_cputime, ATT, totaltime, chunksize, totalsizeHtD, totalsizeDtH, no_chunksHtD, no_chunksDtH, Kernel, HtDtime, Kerneltime, DtHtime
892, 1419.465,   0.681,     12.295,  12.296,6365312,19095936, 6365312, 6,2,partition 1, 5.197024, 5.142400, 1.954176
892, 1419.465,   0.681,     12.295,  12.296,6365312,19095936, 6365312, 6,2,partition 2, 6.209696, 5.129376, 0.956608
892, 1419.465,   0.413,     12.441,  12.442,6365312,19095936, 6365312, 6,2,partition 1, 5.312832, 5.147136, 1.980448
892, 1419.465,   0.413,     12.441,  12.442,6365312,19095936, 6365312, 6,2,partition 2, 6.343872, 5.131840, 0.966784
892, 1419.465,   0.428,     12.429,  12.430,6365312,19095936, 6365312, 6,2,partition 1, 5.312736, 5.149472, 1.965504
892, 1419.465,   0.428,     12.429,  12.430,6365312,19095936, 6365312, 6,2,partition 2, 6.339648, 5.126880, 0.963264
892, 1419.465,   0.423,     12.526,  12.527,6365312,19095936, 6365312, 6,2,partition 1, 5.397824, 5.152384, 1.974400
892, 1419.465,   0.423,     12.526,  12.527,6365312,19095936, 6365312, 6,2,partition 2, 6.430016, 5.128608, 0.968032
892, 1419.465,   0.425,     12.464,  12.465,6365312,19095936, 6365312, 6,2,partition 1, 5.326720, 5.145056, 1.991424
892, 1419.465,   0.425,     12.464,  12.465,6365312,19095936, 6365312, 6,2,partition 2, 6.362496, 5.132992, 0.969792
1784, 11355.717,   0.492,     70.992,  70.993,6365312,76383744, 25461248, 24,8,partition 1, 24.043680, 39.228416, 7.718560
1784, 11355.717,   0.492,     70.992,  70.993,6365312,76383744, 25461248, 24,8,partition 2, 25.067392, 39.215874, 6.709472
1784, 11355.717,   0.486,     70.990,  70.991,6365312,76383744, 25461248, 24,8,partition 1, 24.035135, 39.262241, 7.691328
1784, 11355.717,   0.486,     70.990,  70.991,6365312,76383744, 25461248, 24,8,partition 2, 25.059105, 39.214176, 6.717504
1784, 11355.717,   0.409,     71.154,  71.155,6365312,76383744, 25461248, 24,8,partition 1, 24.294975, 39.202785, 7.654944
1784, 11355.717,   0.409,     71.154,  71.155,6365312,76383744, 25461248, 24,8,partition 2, 25.078367, 39.225857, 6.850528
1784, 11355.717,   0.490,     71.043,  71.044,6365312,76383744, 25461248, 24,8,partition 1, 24.162815, 39.251423, 7.627648
1784, 11355.717,   0.490,     71.043,  71.044,6365312,76383744, 25461248, 24,8,partition 2, 24.906113, 39.208672, 6.929472
1784, 11355.717,   0.519,     71.123,  71.127,6365312,76383744, 25461248, 24,8,partition 1, 24.214975, 39.247425, 7.656352
1784, 11355.717,   0.519,     71.123,  71.127,6365312,76383744, 25461248, 24,8,partition 2, 24.917761, 39.226398, 6.983136
2676, 38325.544,   0.412,    203.681, 203.683,6365312,171863424, 57287808, 54,18,partition 1, 55.687138, 130.806946, 17.185793
2676, 38325.544,   0.412,    203.681, 203.683,6365312,171863424, 57287808, 54,18,partition 2, 56.438721, 130.724060, 16.519745
2676, 38325.544,   0.366,    203.062, 203.067,6365312,171863424, 57287808, 54,18,partition 1, 55.135231, 130.735962, 17.186848
2676, 38325.544,   0.366,    203.062, 203.067,6365312,171863424, 57287808, 54,18,partition 2, 55.874592, 130.754395, 16.437599
2676, 38325.544,   0.367,    203.056, 203.060,6365312,171863424, 57287808, 54,18,partition 1, 55.131424, 130.669601, 17.250401
2676, 38325.544,   0.367,    203.056, 203.060,6365312,171863424, 57287808, 54,18,partition 2, 55.887390, 130.715012, 16.457567
2676, 38325.544,   0.396,    203.168, 203.173,6365312,171863424, 57287808, 54,18,partition 1, 55.184769, 130.719620, 17.259552
2676, 38325.544,   0.396,    203.168, 203.173,6365312,171863424, 57287808, 54,18,partition 2, 55.928288, 130.847290, 16.396929
2676, 38325.544,   0.404,    203.666, 203.668,6365312,171863424, 57287808, 54,18,partition 1, 55.389023, 131.005829, 17.270271
2676, 38325.544,   0.404,    203.666, 203.668,6365312,171863424, 57287808, 54,18,partition 2, 55.952736, 130.782043, 16.932833
3568, 90845.733,   0.527,    438.250, 438.251,6365312,305534976, 101844992, 96,32,partition 1, 99.152962, 308.652435, 30.443775
3568, 90845.733,   0.527,    438.250, 438.251,6365312,305534976, 101844992, 96,32,partition 2, 99.897118, 308.700470, 29.653664
3568, 90845.733,   0.383,    438.737, 438.738,6365312,305534976, 101844992, 96,32,partition 1, 99.353729, 308.522125, 30.860001
3568, 90845.733,   0.383,    438.737, 438.738,6365312,305534976, 101844992, 96,32,partition 2, 100.109795, 308.931396, 29.696735
3568, 90845.733,   0.382,    439.857, 439.858,6365312,305534976, 101844992, 96,32,partition 1, 100.162590, 309.014526, 30.679329
3568, 90845.733,   0.382,    439.857, 439.858,6365312,305534976, 101844992, 96,32,partition 2, 100.926430, 308.941528, 29.990528
3568, 90845.733,   0.377,    438.617, 438.618,6365312,305534976, 101844992, 96,32,partition 1, 99.291328, 308.649780, 30.674721
3568, 90845.733,   0.377,    438.617, 438.618,6365312,305534976, 101844992, 96,32,partition 2, 100.044098, 308.833130, 29.740704
3568, 90845.733,   0.437,    439.165, 439.166,6365312,305534976, 101844992, 96,32,partition 1, 99.230751, 308.634125, 31.299265
3568, 90845.733,   0.437,    439.165, 439.166,6365312,305534976, 101844992, 96,32,partition 2, 100.003487, 309.438660, 29.724064
4460, 177433.072,   0.379,    805.812, 805.813,6365312,477398400, 159132800, 150,50,partition 1, 155.452347, 602.463684, 47.895294
4460, 177433.072,   0.379,    805.812, 805.813,6365312,477398400, 159132800, 150,50,partition 2, 156.224701, 602.428833, 47.159870
4460, 177433.072,   0.382,    808.092, 808.093,6365312,477398400, 159132800, 150,50,partition 1, 157.154694, 603.028748, 47.907745
4460, 177433.072,   0.382,    808.092, 808.093,6365312,477398400, 159132800, 150,50,partition 2, 157.909439, 601.711426, 48.472416
4460, 177433.072,   0.465,    806.789, 806.790,6365312,477398400, 159132800, 150,50,partition 1, 155.590439, 602.100037, 49.097439
4460, 177433.072,   0.465,    806.789, 806.790,6365312,477398400, 159132800, 150,50,partition 2, 156.349243, 603.481506, 46.959202
4460, 177433.072,   0.374,    806.209, 806.210,6365312,477398400, 159132800, 150,50,partition 1, 155.389252, 602.924133, 47.894302
4460, 177433.072,   0.374,    806.209, 806.210,6365312,477398400, 159132800, 150,50,partition 2, 156.155716, 602.456116, 47.597954
4460, 177433.072,   0.378,    807.867, 807.868,6365312,477398400, 159132800, 150,50,partition 1, 155.569656, 604.390930, 47.905441
4460, 177433.072,   0.378,    807.867, 807.868,6365312,477398400, 159132800, 150,50,partition 2, 156.330627, 602.406128, 49.131393
